CLAIM_ID,SOURCE_ID,PLAYER_NAME,CAREER_PHASE,SEASON_START,SEASON_END,SEASON_TYPE,SIDE,DIMENSION,CLAIM_DIRECTION,CLAIM_STRENGTH,EVIDENCE_TYPE,FILM_EXAMPLES_PRESENT,SAMPLE_SIZE_DISCLOSED,CONFIDENCE,SUPPORTING_LOCATION,SUMMARY,LIMITATIONS,REVIEW_STATUS
TB_LBJ_2018_D_RIM_PROTECTION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,rim_protection,strength,3,film_and_statistical_profile,True,False,0.94,"Scouting Report — chase-down blocks, half-court rim protection, and block-location context","LeBron provided meaningful secondary rim protection, including high-value blocks near the basket and recovery plays in transition.","He was not a full-time backline center, and the evidence should be interpreted as perimeter-player rim value.",verified_with_qualification
TB_LBJ_2018_D_ROTATION_TIMING,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,rotation_timing,mixed,2,film_and_statistical_profile,True,True,0.92,Scouting Report — elite help sequences contrasted with bottom-quartile sampled rotation errors,LeBron produced exceptional rotations at his peak but also recorded meaningful missed-rotation and inactivity errors.,The result is strongly career-phase dependent and should not be represented by a single fixed peak rating.,verified_with_qualification
TB_LBJ_2018_D_SCREEN_NAVIGATION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,screen_navigation,strength,2,film_and_statistical_profile,True,False,0.88,Scouting Report — strength through screens and pick-and-roll diagnosis,"LeBron used strength, recognition, and anticipation to navigate or preempt screening actions during his peak.",The article does not provide a complete screen-navigation success rate by season.,verified_with_qualification
TB_LBJ_2018_D_SWITCHABILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,switchability,major_strength,3,film_and_statistical_profile,True,False,0.98,"Scouting Report — examples defending point, wing, and center positions","LeBron's peak combination of size, strength, speed, and technique gave him rare ability to survive switches across all positions.","True five-position performance varied by matchup, season, and physical condition.",verified_with_qualification
TB_LBJ_2018_O_ADVANTAGE_CREATION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,advantage_creation,major_strength,3,film_and_statistical_profile,True,True,0.98,Scouting Report — creation-rate increase and high-leverage passing sample,LeBron's scoring pressure and evolved passing generated creation rates near the highest levels estimated by the source.,The exact creation metric is analyst-defined and should remain separate from official box assists.,verified_with_qualification
TB_LBJ_2018_O_HALF_COURT,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,half_court_creation,major_strength,3,film_and_statistical_profile,True,False,0.95,"Scouting Report and Impact Evaluation — scoring, passing, floor raising, and offensive orchestration",LeBron is evaluated as an all-time half-court engine who simultaneously supplies scoring pressure and high-volume creation.,His historically high ball dominance complicates separation of personal creation from system dependence.,verified_with_qualification
TB_LBJ_2018_O_OFF_BALL,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,off_ball_value,strength,2,film_and_statistical_profile,True,False,0.84,"Scouting Report — backcuts and interior play; Impact Evaluation — cuts, post play, and offensive rebounding","LeBron added meaningful off-ball value through cutting, post positioning, finishing, and offensive rebounding.","His offense remained highly ball-dominant, and the source does not present him as an elite full-time off-ball mover.",verified_with_qualification
TB_LBJ_2018_O_PORTABILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,offensive_portability,strength,3,film_and_statistical_profile,True,False,0.91,"Key Stats and Trends and Impact Evaluation — offensive success across teams, roles, and lineup types",LeBron created historically strong offenses across multiple teams and retained value in a wider variety of roles than many other ball-dominant engines.,Traditional interior fit and lack of elite spot-up shooting remain material limitations in some hypothetical roster constructions.,verified_with_qualification
TB_LBJ_2018_O_PASSING_EXECUTION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,passing_execution,major_strength,3,film_and_statistical_profile,True,True,0.94,"Scouting Report — pass velocity, quality-pass frequency, completion rate, and inaccurate-pass discussion",LeBron consistently executed difficult cross-court and high-leverage passes at elite frequency and accuracy.,"The source also identifies an elevated rate of passes that were too hard, inaccurate, or directed into excessive traffic.",verified_with_qualification
TB_LBJ_2018_O_PASSING_VISION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,passing_vision,major_strength,3,film_and_statistical_profile,True,True,0.99,"Scouting Report — skip passing, evolved court vision, creation rates, and tracked high-leverage opportunities","LeBron's weak-side recognition, skip passing, and ability to identify high-leverage opportunities are evaluated among the strongest ever for a scoring centerpiece.",The tracked comparison stops in 2017 and is based on the analyst's possession samples rather than official league labels.,verified_with_qualification
TB_LBJ_2018_O_PLAYOFF_RESILIENCE,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,playoff_resilience,major_strength,3,statistical_and_contextual_profile,False,False,0.92,Impact Evaluation — postseason statistical profile and elite offense discussion,The source evaluates LeBron's postseason scoring and creation portfolio as historically elite across Cleveland and Miami.,This is an aggregate postseason conclusion rather than a coverage-specific grade for every playoff series.,verified_with_qualification
TB_LBJ_2018_O_POST_SCORING,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,post_scoring,strength,3,film_and_statistical_profile,True,False,0.9,Scouting Report — 2012 interior shift and Impact Evaluation lineup versatility,"LeBron's move toward interior and post offense increased shot quality, efficiency, and usefulness beside other ball handlers.",The article does not provide a complete post-up possession sample across every season.,verified_with_qualification
TB_LBJ_2018_O_RIM_PRESSURE,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,rim_pressure_finishing,major_strength,3,film_and_statistical_profile,True,False,0.97,"Scouting Report — speed, power, contact finishing, angles, and cutting","LeBron's combination of size, speed, strength, and acceleration created historically powerful pressure at the basket.",The source profile stops in 2018 and therefore does not cover his complete late-career decline or adaptation.,verified_with_qualification
TB_LBJ_2018_O_ROLE_ADAPTABILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,role_adaptability,major_strength,3,film_and_statistical_profile,True,False,0.96,"Scouting Report — passing and shot-selection evolution; Impact Evaluation — Cleveland, Miami, and return-to-Cleveland roles","LeBron altered his shot selection, passing, interior usage, on-ball burden, and complementary play as roster talent and age changed.",The article predates the majority of his Lakers career.,verified_with_qualification
TB_LBJ_2018_O_SCALABILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,scalability,strength,3,film_and_statistical_profile,True,False,0.91,"Impact Evaluation — performance beside Wade and Irving, role reduction, and traditional-post-player caveat","LeBron retained substantial value beside other ball-dominant stars because of his defense, post game, cutting, rebounding, and ability to reduce his on-ball role.",The source questions fit beside a traditional low-post scorer and identifies diminishing returns from extreme ball dominance.,verified_with_qualification
TB_LBJ_2018_O_SHOOTING_GRAVITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,shooting_gravity,strength,2,film_and_statistical_profile,True,False,0.86,Scouting Report — improved three-point shot and Impact Evaluation spot-up reservations,Improved three-point shooting forced defenses to respect LeBron outside the paint and increased his value beside other creators.,The source retains reservations about his spot-up shooting and does not equate his gravity with elite movement shooters.,verified_with_qualification
TB_LBJ_2018_O_TRANSITION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,offense,transition_offense,major_strength,3,film_and_statistical_profile,True,False,0.99,"Scouting Report — one-man fast break, transition frequency, and efficiency discussion","LeBron is evaluated as an extraordinary transition engine through speed, strength, finishing, and passing.",The profile's transition statistics end at the article's 2018 publication date.,verified_with_qualification
TB_MJ_2018_D_BALL_DENIAL,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,ball_denial,major_strength,3,film_and_statistical_profile,True,False,0.93,Scouting Report — full-throttle ball denial and passing-lane shutdown discussion,"Jordan's anticipation, positioning, motor, and hands made him an exceptional denial defender when fully engaged.",The source also reports that his overall defensive involvement varied with workload and career stage.,verified_with_qualification
TB_MJ_2018_D_REBOUNDING,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,defensive_rebounding,strength,3,film_and_statistical_profile,True,False,0.92,Scouting Report — rebounding quickness and 1988 defensive-rebounding improvement,"Jordan's quickness, elevation, pursuit, and reduced leaking made him an unusually valuable rebounder for a guard.",The source does not fully separate individual rebounding from team scheme and lineup responsibilities.,verified_with_qualification
TB_MJ_2018_D_EFFORT_CONSISTENCY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,effort_consistency,mixed,2,film_and_statistical_profile,True,False,0.9,Scouting Report — 1988-89 motor peak and later defensive-activity reduction,Jordan reached an exceptional activity level at his defensive peak but reduced involvement as offensive workload and age increased.,Changes in activity may reflect strategic energy conservation rather than a simple lack of effort.,verified_with_qualification
TB_MJ_2018_D_GAMBLING_CONTROL,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,gambling_error_control,limitation,3,film_and_statistical_profile,True,True,0.96,Key Stats and Trends and Scouting Report — high-risk style and defensive error-rate discussion,Jordan's disruptive aggression produced spectacular plays but also frequent failed gambles and above-average defensive errors.,The error estimate is based on the analyst's tracked sample and should not be treated as a full official league dataset.,verified_with_qualification
TB_MJ_2018_D_HELP_POSITIONING,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,help_positioning,strength,2,film_and_statistical_profile,True,False,0.82,"Scouting Report — improved rotations, lane help, and late-career awareness","Jordan's help positioning and awareness improved markedly, allowing him to disrupt penetration and create positive team-defense value.",His help style remained aggressive and could be punished by strong passing or incorrect threat prioritization.,verified_with_qualification
TB_MJ_2018_D_PASSING_LANES,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,passing_lane_disruption,major_strength,3,film_and_statistical_profile,True,False,0.92,"Scouting Report — steal attempts, ambushes, lane denial, and disruptive hands","Jordan's anticipation, hand speed, and ability to disguise steal attempts created unusually high passing-lane disruption.","The same aggressive style also produced failed gambles, so disruption cannot be evaluated without error control.",verified_with_qualification
TB_MJ_2018_D_PLAYOFF_ADAPTABILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,playoff_adaptability,strength,2,film_and_statistical_profile,True,False,0.84,"Scouting Report — 1991 Finals pressure, post defense, denial, and later-career adjustments","Jordan demonstrated the ability to alter pressure points, deny actions, navigate screens, and use strength or anticipation against playoff matchups.",The source also documents failed steal attempts and does not provide a series-by-series defensive grading.,verified_with_qualification
TB_MJ_2018_D_POINT_OF_ATTACK,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,point_of_attack,strength,3,film_and_statistical_profile,True,False,0.9,"Scouting Report — 1988 improvement, point-guard containment, and Finals pressure","At his defensive peak, Jordan used quickness, size, positioning, and improved footwork to contain elite perimeter creators.",The source distinguishes this peak from weaker early-career on-ball defense and lower later-career activity.,verified_with_qualification
TB_MJ_2018_D_POSITIONAL_VERSATILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,positional_versatility,limitation,2,film_and_statistical_profile,True,False,0.93,Scouting Report — size limitations against big players and comparison with larger defenders,Jordan was highly effective across guard and wing assignments but lacked the size to provide true all-position coverage.,The source compares positional range qualitatively rather than through a complete matchup database.,verified_with_qualification
TB_MJ_2018_D_RIM_PROTECTION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,rim_protection,limitation,2,film_and_statistical_profile,True,False,0.88,"Scouting Report — early rim rotations, vertical-paint limitations, and ambush blocks",Jordan could create occasional high-value blocks and steals near the basket but was not a consistent vertical paint deterrent.,This limitation is partly positional; guard rim protection should not be judged against center expectations without adjustment.,verified_with_qualification
TB_MJ_2018_D_ROTATION_TIMING,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,rotation_timing,mixed,2,film_and_statistical_profile,True,True,0.88,Scouting Report — improved rotations contrasted with high defensive error rates,"Jordan developed sharper reads and attentive rotations, but aggressive decisions continued to generate costly errors.",The article's tracked error estimate covers selected film rather than every defensive possession.,verified_with_qualification
TB_MJ_2018_D_SCREEN_NAVIGATION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,screen_navigation,strength,3,film_and_statistical_profile,True,False,0.9,"Scouting Report — hedge, screen navigation, ball denial, and second-three-peat strength","Screen navigation is identified as a clear strength, supported by quickness early and added strength later.",No complete screen-action sample or matchup-adjusted success rate is disclosed.,verified_with_qualification
TB_MJ_2018_D_SWITCHABILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,switchability,strength,2,film_and_statistical_profile,True,False,0.82,Scouting Report footnote 5 — Jordan-Pippen switching and cross-match coverage,Jordan's guard and wing flexibility allowed valuable switching and transition cross-matching alongside Scottie Pippen.,His switchability did not extend reliably to large interior players and was enhanced by Pippen's complementary versatility.,verified_with_qualification
TB_MJ_2018_D_TRANSITION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,defense,transition_defense,limitation,2,film_and_statistical_profile,True,False,0.87,Scouting Report — transition awareness and threat-recognition errors,"The source identifies transition awareness as a recurring weakness, including misreading threats ahead of and behind the play.",Illustrative examples do not establish the full frequency of transition mistakes across his career.,verified_with_qualification
TB_MJ_2018_O_ADVANTAGE_CREATION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,advantage_creation,major_strength,3,film_and_statistical_profile,True,True,0.96,Scouting Report — decision-making improvement and 1989-97 creation-rate discussion,"After improving shot selection and floor reads, Jordan generated elite historical creation rates while preserving his extraordinary scoring burden.",The strongest creation evidence applies primarily to 1989-97 rather than his earliest seasons.,verified_with_qualification
TB_MJ_2018_O_HALF_COURT,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,half_court_creation,major_strength,3,film_and_statistical_profile,True,False,0.97,Scouting Report — apex scoring weapon and multi-context creation discussion,"The source describes Jordan as an exceptionally complete half-court scorer through isolation, post play, pick-and-roll, off-ball actions, footwork, and pull-up creation.",The source is a retrospective expert profile rather than a possession-complete half-court classification study.,verified_with_qualification
TB_MJ_2018_O_MIDRANGE,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,midrange_creation,major_strength,3,film_and_statistical_profile,True,True,0.97,Scouting Report — midrange accuracy and fadeaway development; footnote 1,"Jordan's elevation, footwork, separation moves, and accuracy are evaluated as an elite and durable midrange creation package.",The disclosed sample covers roughly one hundred longer jump shots and does not represent every season or shot type.,verified_with_qualification
TB_MJ_2018_O_OFF_BALL,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,off_ball_value,major_strength,3,film_and_statistical_profile,True,False,0.95,Scouting Report — Doug Collins off-ball actions and Impact Evaluation portability discussion,"Jordan generated substantial value through curls, flares, catch-and-shoot actions, cuts, quick attacks, and low time of possession.",The source does not quantify off-ball value independently from his broader scoring impact.,verified_with_qualification
TB_MJ_2018_O_PORTABILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,offensive_portability,strength,2,film_and_statistical_profile,True,False,0.78,"Impact Evaluation — hybrid role, jumper, penetration, and plug-and-play reservations","Jordan's shooting, cutting, quick attacks, and self-creation suggest strong portability across roster types.",The source explicitly raises uncertainty about how much Chicago's movement system improved his decision quality.,verified_with_qualification
TB_MJ_2018_O_PASSING_EXECUTION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,passing_execution,strength,2,film_and_statistical_profile,True,True,0.82,"Scouting Report — above-average passing, open-court delivery, and footnote 4",Jordan developed into an above-average passer capable of accurate high-value completions and advanced open-court deliveries.,The source's tracked passing profile remains below some other elite perimeter creators and is not full-career play-by-play.,verified_with_qualification
TB_MJ_2018_O_PASSING_VISION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,passing_vision,limitation,2,film_and_statistical_profile,True,True,0.9,"Scouting Report — missed creation opportunities, court-vision limitations, and footnotes 2-4","Jordan improved substantially as a decision-maker, but the source identifies persistent limitations in recognizing some high-value passing opportunities.",The limitation was strongest early in his career and should not be applied equally to his mature championship seasons.,verified_with_qualification
TB_MJ_2018_O_PLAYOFF_RESILIENCE,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,playoff_resilience,major_strength,3,statistical_and_contextual_profile,False,False,0.96,"Impact Evaluation — postseason scoring volume, creation, efficiency, and team offense",Jordan increased postseason scoring volume and creation without a meaningful efficiency collapse while leading historically strong playoff offenses.,The claim uses aggregate postseason evidence and does not separately grade every opponent coverage or series.,verified_with_qualification
TB_MJ_2018_O_POST_SCORING,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,post_scoring,strength,3,film_and_statistical_profile,True,False,0.9,"Scouting Report — complete scoring weapon, fadeaway, footwork, and late-career physicality","The profile identifies post scoring, footwork, strength, and the fadeaway as major parts of Jordan's half-court value.",No separate post-up frequency or efficiency sample is disclosed in the article.,verified_with_qualification
TB_MJ_2018_O_RIM_PRESSURE,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,rim_pressure_finishing,major_strength,3,film_and_statistical_profile,True,False,0.96,"Scouting Report — first-step, open-space attack, and rim-finishing discussion","Jordan is presented as an exceptional space attacker whose first step, elevation, body control, and finishing created elite pressure around the basket.",The profile provides illustrative possessions but does not disclose a complete career sample of rim attempts.,verified_with_qualification
TB_MJ_2018_O_ROLE_ADAPTABILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,role_adaptability,major_strength,3,film_and_statistical_profile,True,False,0.93,Scouting Report — decision-making evolution and second-three-peat skill adaptation,"Jordan evolved from an athletic, shoot-first attacker into a more selective creator who relied increasingly on strength, footwork, positioning, and midrange craft.",The profile ends with his 1998 retirement and does not evaluate the Washington phase.,verified_with_qualification
TB_MJ_2018_O_SCALABILITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,scalability,mixed,2,film_and_statistical_profile,True,False,0.8,Impact Evaluation — hybrid on/off-ball value and triangle-dependence discussion,"Jordan's hybrid on-ball and off-ball game reduced redundancy beside other creators, but the source retains reservations about how much the triangle improved his decision-making.",This is a counterfactual portability judgment rather than a directly observed experiment across many franchises.,verified_with_qualification
TB_MJ_2018_O_SHOOTING_GRAVITY,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,shooting_gravity,strength,2,film_and_statistical_profile,True,False,0.84,"Scouting Report — jumper, staggered-screen, catch-and-shoot, and penetration discussion",Jordan's jumper and decisive catch attacks created meaningful off-ball attention and prevented defenders from leaving him unattended.,The source does not publish a direct gravity metric or a systematic comparison with modern high-volume three-point threats.,verified_with_qualification
TB_MJ_2018_O_TRANSITION,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,transition_offense,strength,2,film_and_statistical_profile,True,False,0.84,"Scouting Report — open-court speed, rebounding, and transition passing examples","Jordan's acceleration, ball pursuit, finishing, and passing made him a high-value open-court offensive player.",The article does not disclose a systematic transition frequency or efficiency sample.,verified_with_qualification
TB_MJ_2018_O_TURNOVER_CONTROL,TB_MJ_BACKPICKS_2018,Michael Jordan,career_through_1998,1984-85,1997-98,all,offense,turnover_management,major_strength,3,film_and_statistical_context,True,False,0.98,Key Stats and Trends and Impact Evaluation — ball security and team turnover discussion,Jordan combined extreme scoring and creation volume with exceptionally low turnover rates and decisive offensive actions.,"Team turnover results also reflect coaching, teammates, scheme, and lineup construction.",verified_with_qualification
